ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,perc_diff
Regionali Speciali,San Giorgio Di Piano,Bologna,Emilia-Romagna,3829,3635,7464,48.02,64.29,3584,2024-11-17,19:00,1,-16.27
Regionali Speciali,San Giorgio Di Piano,Bologna,Emilia-Romagna,3829,3635,7464,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,San Giorgio Di Piano,Bologna,Emilia-Romagna,3829,3635,7464,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,San Giovanni In Persiceto,Bologna,Emilia-Romagna,11791,11411,23202,12.89,25.21,2991,2024-11-17,12:00,0,-12.32
Regionali Speciali,San Giovanni In Persiceto,Bologna,Emilia-Romagna,11791,11411,23202,36.46,63.78,8460,2024-11-17,19:00,1,-27.32
Regionali Speciali,San Giovanni In Persiceto,Bologna,Emilia-Romagna,11791,11411,23202,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,San Giovanni In Persiceto,Bologna,Emilia-Romagna,11791,11411,23202,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,San Lazzaro Di Savena,Bologna,Emilia-Romagna,13953,12768,26721,13.72,25.16,3665,2024-11-17,12:00,0,-11.44
Regionali Speciali,San Lazzaro Di Savena,Bologna,Emilia-Romagna,13953,12768,26721,39.17,64.52,10466,2024-11-17,19:00,1,-25.35
Regionali Speciali,San Lazzaro Di Savena,Bologna,Emilia-Romagna,13953,12768,26721,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,San Lazzaro Di Savena,Bologna,Emilia-Romagna,13953,12768,26721,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,San Pietro In Casale,Bologna,Emilia-Romagna,4917,4875,9792,11.76,26.6,1152,2024-11-17,12:00,0,-14.84
