comune,provincia,regione,url,MICHELE DE PASCALE_total,MICHELE DE PASCALE_perc,ELENA UGOLINI_total,ELENA UGOLINI_perc,FEDERICO SERRA_total,FEDERICO SERRA_perc,LUCA TEODORI_total,LUCA TEODORI_perc,perc_diff
Calendasco,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610080,322,"40,71",448,"56,64",16,"2,02",5,"0,63",-28.12
Caorso,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610100,531,"35,98",910,"61,65",19,"1,29",16,"1,08",-41.65
Carpaneto Piacentino,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610110,852,"30,57",1881,"67,49",28,"1,00",26,"0,93",-54.7
Castell'Arquato,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610120,619,"36,37",1037,"60,93",30,"1,76",16,"0,94",-40.31
Castel San Giovanni,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610130,1294,"34,11",2432,"64,10",55,"1,45",13,"0,34",-46.79
Castelvetro Piacentino,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610140,900,"51,84",791,"45,56",25,"1,44",20,"1,15",13.78
Cerignale,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610150,24,"39,34",34,"55,74",0,0,3,"4,92",-29.41
Coli,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610160,146,"40,44",206,"57,06",5,"1,39",4,"1,11",-29.13
Corte Brugnatella,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610170,76,"31,67",157,"65,42",3,"1,25",4,"1,67",-51.59
Cortemaggiore,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610180,527,"34,42",976,"63,75",17,"1,11",11,"0,72",-46.0
Farini,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610190,124,"27,62",321,"71,49",1,"0,22",3,"0,67",-61.37
Ferriere,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610200,119,"25,05",349,"73,47",5,"1,05",2,"0,42",-65.9
Fiorenzuola D'Arda,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610210,2263,"46,26",2512,"51,35",93,"1,90",24,"0,49",-9.91
Gazzola,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610220,342,"39,86",484,"56,41",15,"1,75",17,"1,98",-29.34
Gossolengo,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610230,975,"46,32",1055,"50,12",53,"2,52",22,"1,05",-7.58
Gragnano Trebbiense,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610240,613,"45,78",687,"51,31",23,"1,72",16,"1,19",-10.77
Gropparello,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610250,257,"32,91",507,"64,92",9,"1,15",8,"1,02",-49.31
Lugagnano Val D'Arda,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610260,497,"35,32",890,"63,26",12,"0,85",8,"0,57",-44.16
Monticelli D'Ongina,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610270,919,"50,00",877,"47,71",28,"1,52",14,"0,76",4.79
