comune,provincia,regione,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,left_right_index
Bagnara Di Romagna,Ravenna,Emilia-Romagna,607,"62,32",348,"35,73",-0.2712041884816754
Brisighella,Ravenna,Emilia-Romagna,1524,"51,94",1331,"45,36",-0.06760070052539405
Casola Valsenio,Ravenna,Emilia-Romagna,594,"57,23",420,"40,46",-0.17159763313609466
Castel Bolognese,Ravenna,Emilia-Romagna,1956,"53,21",1637,"44,53",-0.0887837461731144
Cervia,Ravenna,Emilia-Romagna,6361,"57,97",4299,"39,18",-0.19343339587242026
Conselice,Ravenna,Emilia-Romagna,1950,"60,63",1115,"34,67",-0.2724306688417618
Cotignola,Ravenna,Emilia-Romagna,1759,"59,03",1154,"38,72",-0.20768966700995536
Faenza,Ravenna,Emilia-Romagna,14434,"60,60",8719,"36,60",-0.2468362631192502
Fusignano,Ravenna,Emilia-Romagna,1840,"62,39",1004,"34,05",-0.2939521800281294
Lugo,Ravenna,Emilia-Romagna,6806,"53,83",5470,"43,26",-0.10883023786249593
Massa Lombarda,Ravenna,Emilia-Romagna,2044,"63,18",1069,"33,04",-0.31320269836170894
Ravenna,Ravenna,Emilia-Romagna,34962,"58,22",22666,"37,75",-0.2133685014229194
Riolo Terme,Ravenna,Emilia-Romagna,1243,"54,71",967,"42,56",-0.1248868778280543
Russi,Ravenna,Emilia-Romagna,2600,"54,75",2002,"42,16",-0.12994350282485875
Sant'Agata Sul Santerno,Ravenna,Emilia-Romagna,574,"51,81",492,"44,40",-0.07692307692307693
Solarolo,Ravenna,Emilia-Romagna,975,"56,65",685,"39,80",-0.1746987951807229
Albinea,Reggio Nell'Emilia,Emilia-Romagna,2599,"63,42",1357,"33,11",-0.313953488372093
Bagnolo In Piano,Reggio Nell'Emilia,Emilia-Romagna,2323,"67,00",1016,"29,30",-0.391434561245882
Baiso,Reggio Nell'Emilia,Emilia-Romagna,640,"55,65",480,"41,74",-0.14285714285714285
Bibbiano,Reggio Nell'Emilia,Emilia-Romagna,2265,"65,69",1072,"31,09",-0.3575067425831585
Boretto,Reggio Nell'Emilia,Emilia-Romagna,789,"51,33",685,"44,57",-0.07055630936227951
Brescello,Reggio Nell'Emilia,Emilia-Romagna,708,"49,00",700,"48,44",-0.005681818181818182
Cadelbosco Di Sopra,Reggio Nell'Emilia,Emilia-Romagna,1905,"61,06",1124,"36,03",-0.25784087157477714
Campagnola Emilia,Reggio Nell'Emilia,Emilia-Romagna,1276,"64,97",616,"31,36",-0.3488372093023256
Campegine,Reggio Nell'Emilia,Emilia-Romagna,1122,"66,67",476,"28,28",-0.40425531914893614
Carpineti,Reggio Nell'Emilia,Emilia-Romagna,840,"53,92",670,"43,00",-0.11258278145695365
Casalgrande,Reggio Nell'Emilia,Emilia-Romagna,3656,"61,50",2108,"35,46",-0.2685634975711312
Casina,Reggio Nell'Emilia,Emilia-Romagna,1013,"54,82",759,"41,07",-0.1433408577878104
Castellarano,Reggio Nell'Emilia,Emilia-Romagna,2923,"52,99",2416,"43,80",-0.09496160329649747
Castelnovo Di Sotto,Reggio Nell'Emilia,Emilia-Romagna,1920,"66,74",847,"29,44",-0.3877846042645464
Castelnovo Ne' Monti,Reggio Nell'Emilia,Emilia-Romagna,1992,"50,13",1849,"46,53",-0.03722988804998698
Cavriago,Reggio Nell'Emilia,Emilia-Romagna,2418,"68,58",923,"26,18",-0.4474708171206226
Canossa,Reggio Nell'Emilia,Emilia-Romagna,594,"48,37",580,"47,23",-0.01192504258943782
Correggio,Reggio Nell'Emilia,Emilia-Romagna,6499,"67,08",2868,"29,60",-0.3876374506245329
